window_end,cagr,max_drawdown,sharpe
2014-10-22,0.053029,-0.082016,0.580308
2014-11-20,0.054927,-0.082016,0.625404
2014-12-22,0.052518,-0.082016,0.626239
2015-01-23,0.04432,-0.082016,0.538821
2015-02-24,0.035661,-0.082016,0.443128
2015-03-25,0.032737,-0.081149,0.408537
2015-04-24,0.047844,-0.077659,0.57966
2015-05-26,0.054907,-0.077659,0.661227
2015-06-24,0.054467,-0.077659,0.666456
2015-07-24,0.029818,-0.077659,0.392212
2015-08-24,-0.004772,-0.12929,-0.012819
2015-09-23,-0.009997,-0.134145,-0.069519
2015-10-22,0.011357,-0.134145,0.17148
2015-11-20,0.007833,-0.134145,0.132259
2015-12-22,-0.006198,-0.134145,-0.024181
2016-01-25,-0.031577,-0.18255,-0.305264
2016-02-24,-0.012317,-0.18255,-0.086849
2016-03-24,-0.006535,-0.18255,-0.022788
2016-04-25,0.002399,-0.18255,0.07214
2016-05-24,0.000518,-0.18255,0.051816
2016-06-23,0.0313,-0.18255,0.389808
2016-07-25,0.020105,-0.18255,0.26573
2016-08-23,0.027846,-0.18255,0.35084
2016-09-22,0.022019,-0.18255,0.285003
2016-10-21,0.008925,-0.18255,0.143405
2016-11-21,0.006163,-0.18255,0.113208
2016-12-21,0.005147,-0.18255,0.101966
2017-01-24,0.016238,-0.18255,0.224187
2017-02-23,0.0142,-0.18255,0.202868
2017-03-24,0.014945,-0.18255,0.210695
2017-04-25,0.017528,-0.18255,0.239963
2017-05-24,0.016368,-0.18255,0.226325
2017-06-23,0.010735,-0.182446,0.164242
2017-07-25,0.014661,-0.182446,0.20747
2017-08-23,0.0167,-0.182446,0.229989
2017-09-22,0.032659,-0.177517,0.405393
2017-10-23,0.04471,-0.177517,0.544459
2017-11-21,0.043478,-0.177517,0.532878
2017-12-21,0.053567,-0.177517,0.64934
2018-01-24,0.067633,-0.177517,0.805721
2018-02-23,0.050166,-0.177517,0.592844
2018-03-26,0.054819,-0.177517,0.647672
2018-04-25,0.040328,-0.177517,0.487943
2018-05-24,0.051939,-0.165871,0.616164
2018-06-25,0.049148,-0.15537,0.588434
2018-07-25,0.070971,-0.125704,0.827711
2018-08-23,0.091254,-0.112392,1.067287
2018-09-24,0.085726,-0.112392,1.0452
2018-10-23,0.052593,-0.112392,0.666545
2018-11-21,0.055555,-0.115694,0.68912
2018-12-24,0.048306,-0.142205,0.609796
2019-01-25,0.089278,-0.142205,1.090855
2019-02-26,0.087423,-0.142205,1.088086
2019-03-27,0.076318,-0.142205,0.965874
2019-04-26,0.072486,-0.142205,0.930912
2019-05-28,0.060193,-0.142205,0.781475
2019-06-26,0.073603,-0.142205,0.946713
2019-07-26,0.062193,-0.142205,0.817819
2019-08-26,0.052818,-0.142205,0.693453
2019-09-25,0.061331,-0.142205,0.813915
2019-10-24,0.068678,-0.142205,0.902329
2019-11-22,0.077561,-0.142205,1.019936
2019-12-24,0.088818,-0.142205,1.163095
2020-01-27,0.076765,-0.142205,1.011447
2020-02-26,0.060535,-0.142205,0.788525
2020-03-26,0.019082,-0.238971,0.222784
2020-04-27,0.025925,-0.238971,0.274051
2020-05-27,0.035971,-0.238971,0.351176
2020-06-25,0.046333,-0.238971,0.426255
2020-07-27,0.062766,-0.238971,0.550087
2020-08-25,0.07173,-0.238971,0.613622
2020-09-24,0.050213,-0.238971,0.446914
2020-10-23,0.05918,-0.238971,0.511389
2020-11-23,0.06574,-0.238971,0.554314
2020-12-23,0.075142,-0.238971,0.61942
2021-01-26,0.069524,-0.238971,0.578174
2021-02-25,0.077363,-0.238971,0.638434
2021-03-26,0.087723,-0.238971,0.707573
2021-04-27,0.097861,-0.238971,0.779539
2021-05-26,0.099565,-0.238971,0.787343
2021-06-25,0.108137,-0.238971,0.843889
2021-07-27,0.103126,-0.238971,0.811184
2021-08-25,0.105924,-0.238971,0.829985
2021-09-24,0.104467,-0.238971,0.816002
2021-10-25,0.138478,-0.238971,1.052434
2021-11-23,0.142896,-0.238971,1.087094
2021-12-23,0.146553,-0.238971,1.104816
2022-01-25,0.119378,-0.238971,0.920074
2022-02-24,0.105288,-0.238971,0.820156
2022-03-25,0.115526,-0.238971,0.883177
2022-04-26,0.088041,-0.238971,0.690221
2022-05-25,0.094197,-0.238971,0.721411
2022-06-27,0.065607,-0.238971,0.52442
2022-07-27,0.061975,-0.238971,0.496072
2022-08-25,0.071519,-0.238971,0.558999
2022-09-26,0.022709,-0.238971,0.228561
2022-10-25,0.025238,-0.238971,0.243384
2022-11-23,0.041817,-0.238971,0.347179
2022-12-23,0.02653,-0.238971,0.24809
2023-01-26,0.048297,-0.238971,0.384475
2023-02-27,0.052457,-0.218192,0.412161
2023-03-28,0.094936,-0.218192,0.770858
2023-04-27,0.07985,-0.218192,0.679835
2023-05-26,0.064419,-0.218192,0.569301
2023-06-28,0.060748,-0.218192,0.548204
2023-07-28,0.051482,-0.218192,0.474077
2023-08-28,0.027553,-0.218192,0.28525
2023-09-27,0.029865,-0.218192,0.305897
2023-10-26,0.014395,-0.218192,0.17908
2023-11-27,0.012341,-0.218192,0.162695
2023-12-27,0.018932,-0.218192,0.216626
2024-01-29,0.009817,-0.218192,0.141557
2024-02-28,0.009626,-0.218192,0.140051
2024-03-28,0.021386,-0.218192,0.238813
2024-04-29,0.005039,-0.218192,0.101526
2024-05-29,0.001566,-0.218192,0.072001
2024-06-28,0.002949,-0.218192,0.083759
2024-07-30,0.006918,-0.218192,0.117528
2024-08-28,0.013893,-0.218192,0.175429
2024-09-27,0.023978,-0.218192,0.257357
2024-10-28,0.013719,-0.218192,0.173926
2024-11-26,0.014303,-0.207335,0.178532
2024-12-27,0.001798,-0.207335,0.07467
2025-01-30,0.026322,-0.200546,0.278705
2025-03-03,0.021841,-0.200546,0.242763
2025-04-01,0.019096,-0.200546,0.220113
2025-05-01,0.030162,-0.161506,0.300384
2025-06-02,0.042539,-0.155739,0.403391
2025-07-02,0.071964,-0.133673,0.644268
2025-08-01,0.064185,-0.133673,0.588555
2025-09-02,0.077928,-0.111538,0.704154
2025-10-01,0.132882,-0.111538,1.156831
2025-10-30,0.125081,-0.111538,1.128111
2025-12-01,0.106863,-0.111538,1.00992
